"grouptype";"groupid";"code"
"1";"1";"200"
"1";"1";"201"
"1";"1";"202"
"1";"1";"203"
"1";"1";"204"
"1";"1";"205"
"1";"1";"206"
"1";"1";"209"
"1";"2";"680"
"1";"3";"280"
"1";"3";"2801"
"1";"3";"2802"
"1";"3";"2803"
"1";"3";"2804"
"1";"3";"2805"
"1";"3";"2806"
"1";"4";"670"
"1";"5";"770"
"2";"1";"210"
"2";"1";"211"
"2";"1";"212"
"2";"1";"213"
"2";"1";"214"
"2";"1";"215"
"2";"1";"216"
"2";"1";"217"
"2";"1";"218"
"2";"1";"219"
"2";"2";"681"
"2";"3";"281"
"2";"3";"2811"
"2";"3";"2812"
"2";"3";"2813"
"2";"3";"2814"
"2";"3";"2815"
"2";"3";"2816"
"2";"3";"2817"
"2";"3";"2818"
"2";"3";"2819"
"2";"4";"671"
"2";"5";"771"
"3";"1";"220"
"3";"1";"221"
"3";"2";"682"
"3";"3";"282"
"3";"4";"672"
"3";"5";"772"
"4";"1";"230"
"4";"1";"231"
"4";"1";"232"
"4";"1";"233"
"4";"1";"237"
"4";"1";"239"
"4";"2";"681"
"4";"2";"682"
"4";"3";"2812"
"4";"3";"2813"
"4";"3";"2817"
"4";"3";"2819"
"4";"3";"282"
"4";"4";"671"
"4";"4";"672"
"4";"5";"771"
"4";"5";"772"
