"grouptype";"groupid";"name";"coefficient";"period"
"1";"1";"Edificios y otras construcciones";"3";"68"
"1";"1";"Instalaciones, mobiliario, enseres y resto del inmovilizado material";"10";"20"
"1";"1";"Maquinaria";"12";"18"
"1";"1";"Elementos de Transporte";"16";"14"
"1";"1";"Equipos para tratamiento de la información y sistemas y programas informáticos";"26";"10"
"1";"1";"Útiles y herramientas";"30";"8"
"1";"1";"Ganado vacuno, porcino, ovino y caprino";"16";"14"
"1";"1";"Ganado equino y frutales no cítricos";"8";"25"
"1";"1";"Frutales cítricos y viñedos";"4";"50"
"1";"1";"Olivar";"2";"100"
"2";"2";"Obra civil general";"2";"100"
"2";"2";"Pavimentos";"6";"34"
"2";"2";"Infraestructuras y obras mineras";"7";"30"
"2";"3";"Centrales hidraúlicas";"2";"100"
"2";"3";"Centrales nucleares";"3";"60"
"2";"3";"Centrales carbón";"4";"50"
"2";"3";"Centrales renovables";"7";"30"
"2";"3";"Otras centrales";"5";"40"
"2";"4";"Edificios industriales";"3";"68"
"2";"4";"Terrenos dedicados exclusivamente a escombreras";"4";"50"
"2";"4";"Almacenes y depósitos (gaseosos, líquidos y sólidos)";"7";"30"
"2";"4";"Edificios comerciales, administrativos, de servicios y viviendas";"2";"100"
"2";"5";"Subestaciones. Redes de transporte y distribución de energía";"5";"40"
"2";"5";"Cables";"7";"30"
"2";"5";"Resto instalaciones";"10";"20"
"2";"5";"Maquinaria";"12";"18"
"2";"5";"Equipos médicos y asimilados";"15";"14"
"2";"6";"Locomotoras, vagones y equipos de tracción";"8";"25"
"2";"6";"Buques, aeronaves";"10";"20"
"2";"6";"Elementos de transporte interno";"10";"20"
"2";"6";"Elementos de transporte externo";"16";"14"
"2";"6";"Autocamiones";"20";"10"
"2";"7";"Mobiliario";"10";"20"
"2";"7";"Lencería";"25";"8"
"2";"7";"Cristalería";"50";"4"
"2";"7";"Útiles y herramientas";"25";"8"
"2";"7";"Moldes, matrices y modelos";"33";"6"
"2";"7";"Otros enseres";"15";"14"
"2";"8";"Equipos electrónicos";"20";"10"
"2";"8";"Equipos para procesos de información";"25";"8"
"2";"8";"Sistemas y programas informáticos";"33";"6"
"2";"8";"Producciones cinematográficas, fonográficas, videos y series audiovisuales";"33";"6"
"2";"8";"Otros elementos";"10";"20"
