ES0003;"BANCO DE DEPÓSITOS, S.A.";BDEPESM1XXX
ES0004;"BANCO DE ANDALUCÍA, S.A.";BANDESSSXXX
ES0008;"BANCO ATLÁNTICO, S.A.";BSABESBBXXX
ES0010;"BANCO BILBAO";BBVAESMMXXX
ES0013;"BANCO NATWEST ESPAÑA, S.A.";SLBKESBBXXX
ES0015;"BANCA CATALANA, S.A.";CATAESBBXXX
ES0016;"BANCO CENTRAL HISPANOAMERICANO";CENTESMM
ES0019;"DEUTSCHE BANK, SOCIEDAD ANONIMA ESPAÑOLA";DEUTESBBXXX
ES0020;"BANCO DE COMERCIO";BCIOESMMXXX
ES0024;"BANCO DE CRÉDITO BALEAR, S.A.";BALEES22XXX
ES0029;"BANCO COMERCIAL";CRLEESMMXXX
ES0030;"BANCO ESPAÑOL DE CRÉDITO, S.A.";ESPCESMMXXX
ES0031;"BANCO ETCHEVERRÍA, S.A.";ETCHES2GXXX
ES0036;"SANTANDER INVESTMENT, S.A.";SABNESMMXXX
ES0042;"BANCO GUIPUZCOANO, S.A.";BGUIES22XXX
ES0046;"BANCO GALLEGO, S.A.";GALEES2GXXX
ES0049;"BANCO SANTANDER, S.A.";BSCHESMMXXX
ES0057;"BANCO DEPOSITARIO BBV, S.A.";BVADESMMXXX
ES0058;"B.N.P. ESPAÑA, S.A.";BNPAESMMXXX
ES0059;"BANCO DE MADRID";MADRESMMXXX
ES0061;"BANCA MARCH, S.A.";BMARES2MXXX
ES0065;"BARCLAYS BANK S.A.E.";BARCESMMXXX
ES0072;"BANCO PASTOR, S.A.";PSTRESMMXXX
ES0073;"OPEN BANK";OPENESMMXXX
ES0075;"BANCO POPULAR ESPAÑOL, S.A.";POPUESMMXXX
ES0078;"BANCA PUEYO, S.A.";BAPUES22XXX
ES0081;"BANCO DE SABADELL, S.A.";BSABESBBXXX
ES0083;"BANCO ALICANTINO DE COMERCIO, S.A.";RENBESMMXXX
ES0086;"BANCO BANIF DE GESTIÓN PRIVADA, S.A.";NORTESMMXXX
ES0093;"BANCO DE VALENCIA, S.A.";VALEESVVXXX
ES0094;"RBC DEXIA INVESTOR SERVICES ESPAÑA, S.A.";BVALESMMXXX
ES0099;"BANCO DE CRÉDITO Y AHORRO, S.A.";AHCRESVVXXX
ES0106;"LLOYDS BANK (BLSA) LIMITED";LOYDESMMXXX
ES0107;"BANCA NAZIONALE DEL LAVORO, S.P.A.";BNLIESM1XXX
ES0108;"SOCIETE GENERALE BANQUE EN SPAGNE";SOGEESMMXXX
