codpais,idprovincia,iae,descripcion
ESP,48,101100,EXPLOTACION EXTENSIVA DE GANADO BOVINO
ESP,48,101200,EXPLOTACION INTENSIVA DE GANADO BOVINO DE LECHE
ESP,48,101300,EXPLOTACION INTENSIVA DE GANADO BOVINO DE CEBO
ESP,48,102100,EXPLOTACION EXTENSIVA DE GANADO OVINO
ESP,48,102200,EXPLOTACION INTENSIVA DE GANADO OVINO DE CRIA
ESP,48,102300,EXPLOTACION INTENSIVA DE GANADO OVINO DE CEBO
ESP,48,1024000,EXPLOTACION DE GANADO CAPRINO (EXTENSIVAS Y OTRAS)
ESP,48,1024001,EXPLOTACION DE GANADO CAPRINO (INTENSIVA DE LECHE)
ESP,48,1024002,EXPLOTACION DE GANADO CAPRINO (INTENSIVA DE CARNE)
ESP,48,103100,EXPLOTACION EXTENSIVA DE GANADO PORCINO
ESP,48,103200,EXPLOTACION INTENSIVA DE GANADO PORCINO DE CRIA
ESP,48,103300,EXPLOTACION INTENSIVA DE GANADO PORCINO DE CEBO
ESP,48,104110,REPRODUCTORAS DE PUESTA
ESP,48,1041200,PONEDORAS DE HUEVOS A PARTIR DE LOS CUATRO MESES DE EDAD (INTENSIVA)
ESP,48,1041201,PONEDORAS DE HUEVOS A PARTIR DE LOS CUATRO MESES DE EDAD (EXTENSIVA)
ESP,48,104210,REPRODUCTORAS DE CARNE
ESP,48,104220,POLLOS Y PATOS PARA CARNE
ESP,48,104230,"PAVOS, FAISANES Y PALMIPEDAS REPRODUCTORAS"
ESP,48,104240,"PAVOS, FAISANES Y PALMIPEDAS PARA CARNE"
ESP,48,104250,CODORNICES PARA CARNE
ESP,48,105100,CUNICULTURA
ESP,48,106100,"EXPLOTACIONES DE GANADO CABALLAR, MULAR Y ASNAL"
ESP,48,106200,APICULTURA
ESP,48,1069001,OTRAS EXPLOTACIONES GANADERAS (INTENSIVA DE GANADO BOVINO CRIA)
ESP,48,1069002,OTRAS EXPLOTACIONES GANADERAS (INTENSIVA DE GANADO OVINO DE LECHE)
ESP,48,1069003,"OTRAS EXPLOTACIONES GANADERAS (AVICULTURA DE CARNE, OTRAS ESPECIES)"
ESP,48,107100,EXPLOTACIONES MIXTAS
ESP,48,111110,"EXTRACCION Y PREPARACION DE HULLA, EXCEPTO HULLA SUBBITUMINOSA"
ESP,48,111120,EXTRACCION Y PREPARACION DE HULLA SUBBITUMINOSA (LIGNITO NEGRO)
ESP,48,111130,PREPARACION DE HULLA EN FACTORIA INDEPENDIENTE O FUERA DEL PERIMETRO CONCESION
ESP,48,111140,AGLOMERACION DE HULLA
ESP,48,111210,EXTRACCION Y PREPARACION DE ANTRACITA
ESP,48,111220,PREPARACION DE ANTRACITA EN FACTORIA INDEPENDIENTE O FUERA DEL PERIMETRO CONC.
ESP,48,111310,EXTRACCION Y PREPARACION DE LIGNITO PARDO
ESP,48,111320,PREPARACION DE LIGNITO PARDO EN FACTORIA INDEPENDIENTE O FUERA PERIMETRO CONC.
ESP,48,111400,FABRICACION DE COQUE
