codpais,idprovincia,iae,descripcion
ESP,48,101100,BETABEREEN USTIAPEN ESTENSIBOA 
ESP,48,101200,ESNETARAKO BETABEREEN USTIAPEN SARRIA 
ESP,48,101300,GIZENTZEKO BETABEREEN USTIAPEN SARRIA 
ESP,48,102100,ARDI-ABEREEN USTIAPEN ESTENSIBOA 
ESP,48,102200,HAZKUNTZARAKO ARDI-ABEREEN USTIAPEN SARRIA 
ESP,48,102300,GIZENTZEKO ARDI-ABEREEN USTIAPEN SARRIA 
ESP,48,1024000,AHUNTZ ABEREEN USTIAPENA (ESTENTSIBOAK ETA BESTE BATZUK)
ESP,48,1024001,"AHUNTZ ABEREEN USTIAPENA (INTENTSIBOA, ESNEARENA)"
ESP,48,1024002,"AHUNTZ GANADUAREN USTIAPENA (INTENTSIBOA, HARAGIARENA)"
ESP,48,103100,TXERRI-ABEREEN USTIAPEN ESTENSIBOA 
ESP,48,103200,HAZKUNTZARAKO TXERRI-ABEREEN USTIAPEN SARRIA 
ESP,48,103300,GIZENTZEKO TXERRI-ABEREEN USTIAPEN SARRIA 
ESP,48,104110,ERRUN ETA UGALKETARAKOAK 
ESP,48,1041200,LAU HILABETETIK GORAKO ARRAUTZA-ERRULEAK (INTENTSIBOA)
ESP,48,1041201,LAU HILABETETIK GORAKO ARRAUTZA-ERRULEAK (ESTENTSIBOA)
ESP,48,104210,OKELA ETA UGALKETARAKOAK 
ESP,48,104220,OKELATARAKO OILASKO ETA AHATEAK 
ESP,48,104230,"UGALKETARAKO INDIOILO-OILAR, FAISAI ETA PALMIPEDIAK "
ESP,48,104240,"OKELATARAKO INDIOILO-OILAR, FAISAI ETA PALMIPEDOAK "
ESP,48,104250,OKELATARAKO GALEPERRAK 
ESP,48,105100,UNTXIZANTZA 
ESP,48,106100,"ZALDI-, MANDO-, ETA ASTO-ABEREEN USTIAPENA "
ESP,48,106200,ERLAZANTZA 
ESP,48,1069001,"BESTE GANADU-USTIAPEN BATZUK (INTENTSIBOA, BEHI GANADUA HAZTEKOA)"
ESP,48,1069002,"BESTE GANADU-USTIAPEN BATZUK (INTENTSIBOA, ARDI GANADUA, ESNEARENA)"
ESP,48,1069003,"BESTE GANADU-USTIAPEN BATZUK (HARAGITARAKO HEGAZTIAK HAZTEA, BESTE ESPEZIE BATZUK)"
ESP,48,107100,USTIAPEN MISTOAK 
ESP,48,111110,"HARRIKATZAREN ERAUZKETA ETA PRESTAKETA, HARRIKATZ AZPIUITSUARENA EZIK "
ESP,48,111120,HARRIKATZ AZPIUITSUAREN ERAUZKETA ETA PRESTAKETA (LIGNITO BELTZA). 
ESP,48,111130,APARTEKO EDO USTIATEGIAREN PERIMETROAZ LANDAKO LANTOKIAN HARRIKATZA PRESTATZEA 
ESP,48,111140,HARRIKATZAREN AGLOMERAZIOA 
ESP,48,111210,ANTRAZITAREN ERAUZKETA ETA PRESTAKETA 
ESP,48,111220,APARTEKO EDO USTIATEGIAREN PERIMETROAZ LANDAKO LANTOKIAN ANTRAZITA PRESTATZEA. 
ESP,48,111310,LIGNITO NABARRAREN ERAUZKETA ETA PRESTAKETA 
ESP,48,111320,APARTEKO EDO USTIATEGIAREN PERIMETROAZ LANDAKO LANTOKIAN ANTRAZITA PRESTATZEA. 
ESP,48,111400,KOKEKINEN FABRIKAZIOA 
